group1,group2,meandiff,p-adj,lower,upper,reject,metric,metric_label,stars
Lecanemab | ApoE3,Lecanemab | ApoE4,22234.5,0.3282,-18773.7619,63242.7619,False,plaque_count,Total plaque count,ns
Lecanemab | ApoE3,PBS | ApoE3,34525.0,0.0633,-2153.9045,71203.9045,False,plaque_count,Total plaque count,ns
Lecanemab | ApoE3,PBS | ApoE4,56888.0,0.0118,15879.7381,97896.2619,True,plaque_count,Total plaque count,*
Lecanemab | ApoE4,PBS | ApoE3,12290.5,0.7358,-28717.7619,53298.7619,False,plaque_count,Total plaque count,ns
Lecanemab | ApoE4,PBS | ApoE4,34653.5,0.1279,-10268.8002,79575.8002,False,plaque_count,Total plaque count,ns
PBS | ApoE3,PBS | ApoE4,22363.0,0.3241,-18645.2619,63371.2619,False,plaque_count,Total plaque count,ns
Lecanemab | ApoE3,Lecanemab | ApoE4,0.1657,0.4169,-0.1799,0.5113,False,total_vol_ml,Total plaque burden (mL),ns
Lecanemab | ApoE3,PBS | ApoE3,0.2479,0.1125,-0.0612,0.557,False,total_vol_ml,Total plaque burden (mL),ns
Lecanemab | ApoE3,PBS | ApoE4,0.5326,0.0071,0.187,0.8782,True,total_vol_ml,Total plaque burden (mL),**
Lecanemab | ApoE4,PBS | ApoE3,0.0822,0.8417,-0.2634,0.4278,False,total_vol_ml,Total plaque burden (mL),ns
Lecanemab | ApoE4,PBS | ApoE4,0.3669,0.0566,-0.0116,0.7455,False,total_vol_ml,Total plaque burden (mL),ns
PBS | ApoE3,PBS | ApoE4,0.2847,0.1028,-0.0609,0.6303,False,total_vol_ml,Total plaque burden (mL),ns
Lecanemab | ApoE3,Lecanemab | ApoE4,-0.0,0.9939,-0.0,0.0,False,median_vol_ml,Median plaque size (mL),ns
Lecanemab | ApoE3,PBS | ApoE3,-0.0,0.8538,-0.0,0.0,False,median_vol_ml,Median plaque size (mL),ns
Lecanemab | ApoE3,PBS | ApoE4,0.0,0.0086,0.0,0.0,True,median_vol_ml,Median plaque size (mL),**
Lecanemab | ApoE4,PBS | ApoE3,-0.0,0.9646,-0.0,0.0,False,median_vol_ml,Median plaque size (mL),ns
Lecanemab | ApoE4,PBS | ApoE4,0.0,0.0106,0.0,0.0,True,median_vol_ml,Median plaque size (mL),*
PBS | ApoE3,PBS | ApoE4,0.0,0.0045,0.0,0.0,True,median_vol_ml,Median plaque size (mL),**
Lecanemab | ApoE3,Lecanemab | ApoE4,-0.0583,0.9947,-0.9008,0.7843,False,median_diam_um,Median plaque diameter (µm),ns
Lecanemab | ApoE3,PBS | ApoE3,-0.1763,0.8478,-0.9299,0.5772,False,median_diam_um,Median plaque diameter (µm),ns
Lecanemab | ApoE3,PBS | ApoE4,1.1628,0.0121,0.3203,2.0053,True,median_diam_um,Median plaque diameter (µm),*
Lecanemab | ApoE4,PBS | ApoE3,-0.1181,0.9596,-0.9606,0.7245,False,median_diam_um,Median plaque diameter (µm),ns
Lecanemab | ApoE4,PBS | ApoE4,1.2211,0.0148,0.2981,2.144,True,median_diam_um,Median plaque diameter (µm),*
PBS | ApoE3,PBS | ApoE4,1.3391,0.0061,0.4966,2.1817,True,median_diam_um,Median plaque diameter (µm),**
