index,name,n_PBS,n_Lecanemab,mean_PBS,mean_Lecanemab,median_PBS,median_Lecanemab,log2fc_Lec_over_PBS,t_stat,p_value,p_value_fdr
690,left Perireunensis nucleus,2,2,13.195875661889337,39.58762698566801,13.195875661889337,39.58762698566801,1.58496250064827,inf,0.0,0.0
215,"left Postrhinal area, layer 2/3",3,3,486.7530065503434,237.13608011426982,486.7530065503434,235.3531020682979,-1.0374747054155433,-32.11820274187863,0.0009679804596805389,0.2531802076442861
347,"left Anterior area, layer 1",3,3,880.4766493818466,243.9537213255435,916.9295042925601,227.1293267513681,-1.8516772530386234,-9.52470841666742,0.0007041376605426523,0.2531802076442861
10181,"right Lateral visual area, layer 4",3,3,636.0941284619541,290.148198947558,624.9345823485866,267.8291067208228,-1.1324502960209455,-8.48969964133008,0.001067145237699836,0.2531802076442861
10355,"right Rostrolateral area, layer 2/3",3,3,672.2587151411391,174.1101708279209,696.4406833116836,166.85558037675753,-1.9490160712750553,-12.874999999999998,0.0016908797359022677,0.2810616560414502
52,"left Primary somatosensory area, barrel field, layer 1",3,3,952.2105856715798,326.6765865701329,910.8792413853341,317.1385840425378,-1.543417609104202,-13.44366494766133,0.0020731629002003703,0.2810616560414502
53,"left Primary somatosensory area, barrel field, layer 2/3",3,3,874.8574231733154,258.5005853396529,910.0275708385742,253.2250631898641,-1.7588803705907154,-12.334841251212897,0.001967825913946045,0.2810616560414502
516,"left Entorhinal area, medial part, dorsal zone, layer 6",3,3,129.5503505747456,207.06818329569992,124.24090997741997,200.69685457890918,0.6765929761825554,6.555593523977283,0.0028641950312130785,0.3397651355776515
167,"left Anterolateral visual area, layer 4",3,3,896.683759445893,303.19522801407896,890.2327971477212,270.9404165232195,-1.5643522210427203,-6.147008563985759,0.0037648957472801725,0.35728860641688837
10335,"right Retrosplenial area, ventral part, layer 2/3",3,3,178.74899402660537,273.68893590886836,182.67754334587144,269.10562836972457,0.6146019911582309,6.550432296063071,0.0035260925908709565,0.35728860641688837
45,"left Primary somatosensory area, nose, layer 1",3,3,808.6286210683188,251.4637785029528,833.2819326862553,231.74112920860355,-1.685126662642635,-7.012459112070428,0.004392574451530987,0.3789593776820824
182,"left Lateral visual area, layer 5",3,3,772.8237424860481,339.7027439499113,764.3311738873003,388.535013392711,-1.1858665453089539,-8.057515556440316,0.0050451432626153385,0.3989867463518297
216,"left Postrhinal area, layer 4",3,3,925.619790746163,385.6749128109013,958.6776404156687,363.636346364564,-1.2630344058316116,-5.856620185738529,0.006655739235456717,0.41199058458286425
833,"left Superior colliculus, motor related, intermediate white layer",3,3,13.39632733452374,40.188982003571205,13.396327334523738,42.10274305136032,1.58496250064936,5.056205829602304,0.010419150716531867,0.41199058458286425
794,left Lateral hypothalamic area,3,3,10.938850498911902,72.71118272806147,1.930385382160924,65.63310299347141,2.732716121052803,4.830284212095625,0.008684273939609587,0.41199058458286425
10196,"right Posterolateral visual area, layer 5",3,3,227.79706452650433,87.82537427527878,222.30797863429942,98.80354605968863,-1.375039431336831,-5.074689670070944,0.007123763394832251,0.41199058458286425
358,"left Rostrolateral area, layer 6a",3,3,471.23587081870863,211.39553083456084,449.2155030234418,237.81997218888094,-1.156504485676228,-4.801351906749842,0.008914699195777072,0.41199058458286425
10180,"right Lateral visual area, layer 2/3",3,3,925.4235678748113,282.7069610691547,960.7619380084557,284.91560920250754,-1.7108064336958078,-9.97535152627994,0.008516931801152913,0.41199058458286425
354,"left Rostrolateral area, layer 1",3,3,923.9463868803518,334.19337397799956,943.6048206437636,271.286385935082,-1.4671260104245427,-6.986196492489337,0.00605124010943105,0.41199058458286425
