index	name	abbreviation	color	volume_mm3
0	left root	root-L	000000	701.3379551867638
1	left Basic cell groups and regions	grey-L	BFDAE3	0.0
2	left Cerebrum	CH-L	B0F0FF	0.0
3	left Cerebral cortex	CTX-L	B0FFB8	0.0
4	left Cortical plate	CTXpl-L	70FF70	0.0
5	left Isocortex	Isocortex-L	70FF71	0.0
6	left Frontal pole, cerebral cortex	FRP-L	268F44	0.0
7	left Frontal pole, layer 1	FRP1-L	268F45	0.12675000602030195
8	left Frontal pole, layer 2/3	FRP2/3-L	268E45	0.1170312555586861
9	left Frontal pole, layer 5	FRP5-L	258F45	0.18579688382487802
10	left Frontal pole, layer 6a	FRP6a-L	268E44	0.05609375266431016
11	left Frontal pole, layer 6b	FRP6b-L	258F44	0.0005156250244908733
12	left Somatomotor areas	MO-L	1F9C59	0.0
13	left Somatomotor areas, Layer 1	MO1-L	1F9D5A	0.0
14	left Somatomotor areas, Layer 2/3	MO2/3-L	1F9D59	0.0
15	left Somatomotor areas, Layer 5	MO5-L	1F9C5A	0.0
16	left Somatomotor areas, Layer 6a	MO6a-L	1E9D59	0.0
17	left Somatomotor areas, Layer 6b	MO6b-L	1F9B59	0.0
18	left Primary motor area	MOp-L	1E9B5A	0.0
19	left Primary motor area, Layer 1	MOp1-L	1E9D5A	0.6646094065672514
20	left Primary motor area, Layer 2/3	MOp2/3-L	1F9C58	1.8444375876060803
21	left Primary motor area, Layer 5	MOp5-L	1E9C5A	1.6362032027154783
22	left Primary motor area, Layer 6a	MOp6a-L	1F9B5A	1.4379531932991085
23	left Primary motor area, Layer 6b	MOp6b-L	1D9D5A	0.09353125444249599
24	left Secondary motor area	MOs-L	1D9D59	0.0
25	left Secondary motor area, layer 1	MOs1-L	1E9C59	1.1643125553018763
26	left Secondary motor area, layer 2/3	MOs2/3-L	1E9D58	1.901640715323083
27	left Secondary motor area, layer 5	MOs5-L	1F9D58	2.261593857419939
28	left Secondary motor area, layer 6a	MOs6a-L	1D9C5A	1.1891719314826332
29	left Secondary motor area, layer 6b	MOs6b-L	1E9C58	0.03759375178560731
30	left Somatosensory areas	SS-L	1B8061	0.0
31	left Somatosensory areas, layer 1	SS1-L	1A7F62	0.0
32	left Somatosensory areas, layer 2/3	SS2/3-L	1A7E63	0.0
33	left Somatosensory areas, layer 4	SS4-L	198064	0.0
34	left Somatosensory areas, layer 5	SS5-L	1B8064	0.0
35	left Somatosensory areas, layer 6a	SS6a-L	187F61	0.0
36	left Somatosensory areas, layer 6b	SS6b-L	187D63	0.0
37	left Primary somatosensory area	SSp-L	198063	0.0
38	left Primary somatosensory area, layer 1	SSp1-L	197D64	0.0
39	left Primary somatosensory area, layer 2/3	SSp2/3-L	187E64	0.0
40	left Primary somatosensory area, layer 4	SSp4-L	1B7F63	0.0
41	left Primary somatosensory area, layer 5	SSp5-L	1B7D64	0.0
42	left Primary somatosensory area, layer 6a	SSp6a-L	187D64	0.0
43	left Primary somatosensory area, layer 6b	SSp6b-L	198061	0.0
44	left Primary somatosensory area, nose	SSp-n-L	1A8064	0.0
45	left Primary somatosensory area, nose, layer 1	SSp-n1-L	197E63	0.20281250963307684
46	left Primary somatosensory area, nose, layer 2/3	SSp-n2/3-L	1B7F64	0.3201875152080902
47	left Primary somatosensory area, nose, layer 4	SSp-n4-L	1A8062	0.2741093880194967
48	left Primary somatosensory area, nose, layer 5	SSp-n5-L	197E62	0.2835156384662696
49	left Primary somatosensory area, nose, layer 6a	SSp-n6a-L	187D62	0.4023281441095605
50	left Primary somatosensory area, nose, layer 6b	SSp-n6b-L	1B7E64	0.026750001270556822
51	left Primary somatosensory area, barrel field	SSp-bfd-L	197F64	0.0
52	left Primary somatosensory area, barrel field, layer 1	SSp-bfd1-L	188060	0.41937501991924364
53	left Primary somatosensory area, barrel field, layer 2/3	SSp-bfd2/3-L	187F63	0.7582187860134582
54	left Primary somatosensory area, barrel field, layer 4	SSp-bfd4-L	197C64	0.6412656554584828
55	left Primary somatosensory area, barrel field, layer 5	SSp-bfd5-L	1A7D62	0.6039844036877184
56	left Primary somatosensory area, barrel field, layer 6a	SSp-bfd6a-L	198060	0.6488281558176823
57	left Primary somatosensory area, barrel field, layer 6b	SSp-bfd6b-L	1A7E61	0.07406250351777999
58	left Rostrolateral lateral visual area	VISrll-L	1B7F61	0.0
59	left Rostrolateral lateral visual area, layer 1	VISrll1-L	1B7D63	0.0
60	left Rostrolateral lateral visual area, layer 2/3	VISrll2/3-L	187E60	0.0
61	left Rostrolateral lateral visual area, layer 4	VISrll4-L	187C62	0.0
62	left Rostrolateral lateral visual area,layer 5	VISrll5-L	1A8060	0.0
63	left Rostrolateral lateral visual area, layer 6a	VISrll6a-L	1A7C64	0.0
64	left Rostrolateral lateral visual area, layer 6b	VISrll6b-L	1C8062	0.0
65	left Primary somatosensory area, lower limb	SSp-ll-L	197F63	0.0
66	left Primary somatosensory area, lower limb, layer 1	SSp-ll1-L	187F60	0.14926563208973676
67	left Primary somatosensory area, lower limb, layer 2/3	SSp-ll2/3-L	187F64	0.32325001535355113
68	left Primary somatosensory area, lower limb, layer 4	SSp-ll4-L	1C7F64	0.13668750649230788
69	left Primary somatosensory area, lower limb, layer 5	SSp-ll5-L	197C63	0.27800001320429146
70	left Primary somatosensory area, lower limb, layer 6a	SSp-ll6a-L	1A7F64	0.2638906375341321
71	left Primary somatosensory area, lower limb, layer 6b	SSp-ll6b-L	197F62	0.025390626205989975
72	left Primary somatosensory area, mouth	SSp-m-L	188062	0.0
73	left Primary somatosensory area, mouth, layer 1	SSp-m1-L	187E61	0.39043751854478614
74	left Primary somatosensory area, mouth, layer 2/3	SSp-m2/3-L	1A7E64	0.7490625355785596
75	left Primary somatosensory area, mouth, layer 4	SSp-m4-L	1B7F62	0.47368752249894897
76	left Primary somatosensory area, mouth, layer 5	SSp-m5-L	1B7E63	0.6087187789125892
77	left Primary somatosensory area, mouth, layer 6a	SSp-m6a-L	187D61	0.8260937892373477
78	left Primary somatosensory area, mouth, layer 6b	SSp-m6b-L	188064	0.057328127722939826
79	left Primary somatosensory area, upper limb	SSp-ul-L	187E63	0.0
80	left Primary somatosensory area, upper limb, layer 1	SSp-ul1-L	197E64	0.23064063595484185
81	left Primary somatosensory area, upper limb, layer 2/3	SSp-ul2/3-L	197F61	0.48918752323515946
82	left Primary somatosensory area, upper limb, layer 4	SSp-ul4-L	1A7F63	0.26164063742726285
83	left Primary somatosensory area, upper limb, layer 5	SSp-ul5-L	187E62	0.3956250187911792
84	left Primary somatosensory area, upper limb, layer 6a	SSp-ul6a-L	197D61	0.4705468973497773
85	left Primary somatosensory area, upper limb, layer 6b	SSp-ul6b-L	1C8064	0.03707812676111644
86	left Primary somatosensory area, trunk	SSp-tr-L	187F62	0.0
87	left Primary somatosensory area, trunk, layer 1	SSp-tr1-L	187C64	0.10228125485809869
88	left Primary somatosensory area, trunk, layer 2/3	SSp-tr2/3-L	188061	0.21225001008133404
89	left Primary somatosensory area, trunk, layer 4	SSp-tr4-L	1B7E62	0.075968753608322
90	left Primary somatosensory area, trunk, layer 5	SSp-tr5-L	197F60	0.17646875838181586
91	left Primary somatosensory area, trunk, layer 6a	SSp-tr6a-L	188063	0.11621875552009442
92	left Primary somatosensory area, trunk, layer 6b	SSp-tr6b-L	1A8063	0.017187500816362444
93	left Primary somatosensory area, unassigned	SSp-un-L	1A7D64	0.0
94	left Primary somatosensory area, unassigned, layer 1	SSp-un1-L	1B8062	0.08315625394970994
95	left Primary somatosensory area, unassigned, layer 2/3	SSp-un2/3-L	1C7F63	0.16539063285563316
96	left Primary somatosensory area, unassigned, layer 4	SSp-un4-L	197E61	0.09409375446921331
97	left Primary somatosensory area, unassigned, layer 5	SSp-un5-L	197D62	0.1291250061331084
98	left Primary somatosensory area, unassigned, layer 6a	SSp-un6a-L	1A7F61	0.1469531319798989
99	left Primary somatosensory area, unassigned, layer 6b	SSp-un6b-L	1A7D63	0.01243750059074955
100	left Supplemental somatosensory area	SSs-L	198062	0.0
101	left Supplemental somatosensory area, layer 1	SSs1-L	1A7E62	0.6240000296384096
102	left Supplemental somatosensory area, layer 2/3	SSs2/3-L	1B8063	1.0724844259402744
103	left Supplemental somatosensory area, layer 4	SSs4-L	187C63	0.5831875276999199
104	left Supplemental somatosensory area, layer 5	SSs5-L	1C8063	1.0927344269020978
105	left Supplemental somatosensory area, layer 6a	SSs6a-L	197D63	1.0377031742882536
106	left Supplemental somatosensory area, layer 6b	SSs6b-L	1A8061	0.10256250487145735
107	left Gustatory areas	GU-L	019B75	0.0
108	left Gustatory areas, layer 1	GU1-L	009C75	0.09781250464584446
109	left Gustatory areas, layer 2/3	GU2/3-L	009B75	0.2010937595514406
110	left Gustatory areas, layer 4	GU4-L	009C74	0.07350000349106267
111	left Gustatory areas, layer 5	GU5-L	019C75	0.27251563794379763
112	left Gustatory areas, layer 6a	GU6a-L	009B74	0.2198750104435021
113	left Gustatory areas, layer 6b	GU6b-L	019C74	0.020062500952917617
114	left Visceral area	VISC-L	11AD83	0.0
115	left Visceral area, layer 1	VISC1-L	12AD83	0.17157813314952364
116	left Visceral area, layer 2/3	VISC2/3-L	12AC83	0.26885938777013507
117	left Visceral area, layer 4	VISC4-L	11AC82	0.09134375433859532
118	left Visceral area, layer 5	VISC5-L	12AD82	0.35340626678589615
119	left Visceral area, layer 6a	VISC6a-L	11AC83	0.2671250126877567
120	left Visceral area, layer 6b	VISC6b-L	11AD82	0.024765626176304067
121	left Auditory areas	AUD-L	019299	0.0
122	left Dorsal auditory area	AUDd-L	049399	0.0
123	left Dorsal auditory area, layer 1	AUDd1-L	039399	0.09812500466068741
124	left Dorsal auditory area, layer 2/3	AUDd2/3-L	029397	0.16400000778958201
125	left Dorsal auditory area, layer 4	AUDd4-L	039398	0.06609375313928467
126	left Dorsal auditory area, layer 5	AUDd5-L	029398	0.17165625815323438
127	left Dorsal auditory area, layer 6a	AUDd6a-L	019399	0.09226562938238203
128	left Dorsal auditory area, layer 6b	AUDd6b-L	019398	0.015234375723593985
129	left Laterolateral anterior visual area	VISlla-L	029099	0.0
130	left Laterolateral anterior visual area, layer 1	VISlla1-L	029299	0.0
131	left Laterolateral anterior visual area, layer 2/3	VISlla2/3-L	049398	0.0
132	left Laterolateral anterior visual area, layer 4	VISlla4-L	049299	0.0
133	left Laterolateral anterior visual area,layer 5	VISlla5-L	029296	0.0
134	left Laterolateral anterior visual area, layer 6a	VISlla6a-L	019199	0.0
135	left Laterolateral anterior visual area, layer 6b	VISlla6b-L	019297	0.0
136	left Primary auditory area	AUDp-L	039297	0.0
137	left Primary auditory area, layer 1	AUDp1-L	029297	0.18984375901709427
138	left Primary auditory area, layer 2/3	AUDp2/3-L	019298	0.23562501119158696
139	left Primary auditory area, layer 4	AUDp4-L	039397	0.11737500557501335
140	left Primary auditory area, layer 5	AUDp5-L	039199	0.35743751697737025
141	left Primary auditory area, layer 6a	AUDp6a-L	019396	0.14920313208676816
142	left Primary auditory area, layer 6b	AUDp6b-L	039198	0.0272343762935634
143	left Posterior auditory area	AUDpo-L	029396	0.0
144	left Posterior auditory area, layer 1	AUDpo1-L	039299	0.05670312769325392
145	left Posterior auditory area, layer 2/3	AUDpo2/3-L	029199	0.07326562847993046
146	left Posterior auditory area, layer 4	AUDpo4-L	039298	0.03731250177224865
147	left Posterior auditory area, layer 5	AUDpo5-L	019197	0.09068750430742512
148	left Posterior auditory area, layer 6a	AUDpo6a-L	029399	0.039578126879860065
149	left Posterior auditory area, layer 6b	AUDpo6b-L	029298	0.0090781254311878
150	left Ventral auditory area	AUDv-L	019296	0.0
151	left Ventral auditory area, layer 1	AUDv1-L	019099	0.14592188193091715
152	left Ventral auditory area, layer 2/3	AUDv2/3-L	029198	0.1943437592308328
153	left Ventral auditory area, layer 4	AUDv4-L	029197	0.10675000507035293
154	left Ventral auditory area, layer 5	AUDv5-L	019098	0.30221876435462036
155	left Ventral auditory area, layer 6a	AUDv6a-L	019397	0.14167188172905298
156	left Ventral auditory area, layer 6b	AUDv6b-L	019198	0.021953126042717486
157	left Visual areas	VIS-L	098489	0.0
158	left Visual areas, layer 1	VIS1-L	08828A	0.0
159	left Visual areas, layer 2/3	VIS2/3-L	0B858C	0.0
160	left Visual areas, layer 4	VIS4-L	09828A	0.0
161	left Visual areas, layer 5	VIS5-L	08818C	0.0
162	left Visual areas, layer 6a	VIS6a-L	0A838C	0.0
163	left Visual areas, layer 6b	VIS6b-L	09838A	0.0
164	left Anterolateral visual area	VISal-L	09838C	0.0
165	left Anterolateral visual area, layer 1	VISal1-L	0B838B	0.05892187779863889
166	left Anterolateral visual area, layer 2/3	VISal2/3-L	098389	0.09962500473193359
167	left Anterolateral visual area, layer 4	VISal4-L	088588	0.05167187745428237
168	left Anterolateral visual area, layer 5	VISal5-L	08848B	0.10176562983360782
169	left Anterolateral visual area, layer 6a	VISal6a-L	09828C	0.05631250267470023
170	left Anterolateral visual area, layer 6b	VISal6b-L	0B848C	0.01123437553360418
171	left Anteromedial visual area	VISam-L	08838B	0.0
172	left Anteromedial visual area, layer 1	VISam1-L	09848B	0.06685937817564991
173	left Anteromedial visual area, layer 2/3	VISam2/3-L	0B848A	0.10400000493973494
174	left Anteromedial visual area, layer 4	VISam4-L	09858A	0.030171876433087164
