index	name	abbreviation	volume_mm3
1	Frontal Pole (Right Hemisphere)	FRP_RH	0.48925002323812805
2	Frontal Pole (Left Hemisphere)	FRP_LH	0.4901250232796883
3	Primary Motor Cortex (Right Hemisphere)	MOp_RH	5.674875269542099
4	Primary Motor Cortex (Left Hemisphere)	MOp_LH	5.689125270218938
5	Secondary Motor Cortex (Right Hemisphere)	MOs_RH	6.54806281101628
6	Secondary Motor Cortex (Left Hemisphere)	MOs_LH	6.532875310294912
7	Primary Somatosensory Area - Nose (Right Hemisphere)	SSp-n_RH	1.5115000717923976
8	Primary Somatosensory Area - Nose (Left Hemisphere)	SSp-n_LH	1.5100000717211515
9	Primary Somatosensory Area - Barrel Field (Right Hemisphere)	SSp-bfd_RH	3.160937650136475
10	Primary Somatosensory Area - Barrel Field (Left Hemisphere)	SSp-bfd_LH	3.148125149527914
11	Primary Somatosensory Area - Lower Limb (Right Hemisphere)	SSp-ll_RH	1.1785000559757464
12	Primary Somatosensory Area - Lower Limb (Left Hemisphere)	SSp-ll_LH	1.1770000559045002
13	Primary Somatosensory Area - Mouth (Right Hemisphere)	SSp-m_RH	3.1131876478684717
14	Primary Somatosensory Area - Mouth (Left Hemisphere)	SSp-m_LH	3.1071251475805184
15	Primary Somatosensory Area - Upper Limb (Right Hemisphere)	SSp-ul_RH	1.8771875891616219
16	Primary Somatosensory Area - Upper Limb (Left Hemisphere)	SSp-ul_LH	1.8876250896573765
17	Primary Somatosensory Area - Trunk (Right Hemisphere)	SSp-tr_RH	0.7013750333135249
18	Primary Somatosensory Area - Trunk (Left Hemisphere)	SSp-tr_LH	0.7032500334025826
19	Primary Somatosensory Area - Unassigned (Right Hemisphere)	SSp-un_RH	0.6313125299857347
20	Primary Somatosensory Area - Unassigned (Left Hemisphere)	SSp-un_LH	0.6292500298877712
21	Supplemental Somatosensory Area (Right Hemisphere)	SSs_RH	4.51112521426694
22	Supplemental Somatosensory Area (Left Hemisphere)	SSs_LH	4.505500213999767
23	Gustatory Area (Right Hemisphere)	GU_RH	0.886750042118365
24	Gustatory Area (Left Hemisphere)	GU_LH	0.8871250421361765
25	Visceral Area (Right Hemisphere)	VISC_RH	1.180250056058867
26	Visceral Area (Left Hemisphere)	VISC_LH	1.1825000561657362
27	Auditory Dorsal Area (Right Hemisphere)	AUDd_RH	0.6090000289259478
28	Auditory Dorsal Area (Left Hemisphere)	AUDd_LH	0.6071250288368901
29	Auditory Posterior Area (Right Hemisphere)	AUDp_RH	1.0760000511072576
30	Auditory Posterior Area (Left Hemisphere)	AUDp_LH	1.0752500510716345
31	Auditory Posteromedial Area (Right Hemisphere)	AUDpo_RH	0.3078750146232778
32	Auditory Posteromedial Area (Left Hemisphere)	AUDpo_LH	0.3072500145935919
33	Auditory Ventral Area (Right Hemisphere)	AUDv_RH	0.9140000434126705
34	Auditory Ventral Area (Left Hemisphere)	AUDv_LH	0.9093750431929948
35	Visual Area - Anterolateral (Right Hemisphere)	VISal_RH	0.3798750180430943
36	Visual Area - Anterolateral (Left Hemisphere)	VISal_LH	0.3812500181084033
37	Visual Area - Anteromedial (Right Hemisphere)	VISam_RH	0.3960000188089907
38	Visual Area - Anteromedial (Left Hemisphere)	VISam_LH	0.39500001876149327
39	Visual Area - Lateral (Right Hemisphere)	VISl_RH	0.6136250291456236
40	Visual Area - Lateral (Left Hemisphere)	VISl_LH	0.6147500291990582
41	Primary Visual Cortex (Right Hemisphere)	VISp_RH	3.540562668167695
42	Primary Visual Cortex (Left Hemisphere)	VISp_LH	3.5365001679747365
43	Visual Area - Posterolateral (Right Hemisphere)	VISpl_RH	0.3966250188386766
44	Visual Area - Posterolateral (Left Hemisphere)	VISpl_LH	0.39312501867243554
45	Visual Area - Posteromedial (Right Hemisphere)	VISpm_RH	0.5246250249183504
46	Visual Area - Posteromedial (Left Hemisphere)	VISpm_LH	0.5222500248055439
47	Visual Area - Laterointermediate (Right Hemisphere)	VISli_RH	0.24737501174968202
48	Visual Area - Laterointermediate (Left Hemisphere)	VISli_LH	0.24787501177343074
49	Visual Area - Postrhinal (Right Hemisphere)	VISpor_RH	0.6416250304755522
50	Visual Area - Postrhinal (Left Hemisphere)	VISpor_LH	0.6410000304458663
51	Anterior Cingulate Area - Dorsal (Right Hemisphere)	ACAd_RH	1.4322500680282246
52	Anterior Cingulate Area - Dorsal (Left Hemisphere)	ACAd_LH	1.6900625802736613
53	Anterior Cingulate Area - Ventral (Right Hemisphere)	ACAv_RH	1.1145000529359095
54	Anterior Cingulate Area - Ventral (Left Hemisphere)	ACAv_LH	1.2994375617199694
55	Prelimbic Area (Right Hemisphere)	PL_RH	1.118250053114025
56	Prelimbic Area (Left Hemisphere)	PL_LH	1.285000061034225
57	Infralimbic Area (Right Hemisphere)	ILA_RH	0.3781250179599738
58	Infralimbic Area (Left Hemisphere)	ILA_LH	0.4598750218428904
59	Orbital Area - Lateral (Right Hemisphere)	ORBl_RH	1.3625000647152774
60	Orbital Area - Lateral (Left Hemisphere)	ORBl_LH	1.3603750646143453
61	Orbital Area - Medial (Right Hemisphere)	ORBm_RH	0.631125029976829
62	Orbital Area - Medial (Left Hemisphere)	ORBm_LH	0.760312536112906
63	Orbital Area - Ventrolateral (Right Hemisphere)	ORBvl_RH	0.8896250422549201
64	Orbital Area - Ventrolateral (Left Hemisphere)	ORBvl_LH	0.8810625418482232
65	Agranular Insular Area - Dorsal (Right Hemisphere)	AId_RH	1.8671875886866474
66	Agranular Insular Area - Dorsal (Left Hemisphere)	AId_LH	1.8618750884343171
67	Agranular Insular Area - Posterior (Right Hemisphere)	AIp_RH	1.218875057893456
68	Agranular Insular Area - Posterior (Left Hemisphere)	AIp_LH	1.2163750577747123
69	Agranular Insular Area - Ventral (Right Hemisphere)	AIv_RH	0.8687500412634108
70	Agranular Insular Area - Ventral (Left Hemisphere)	AIv_LH	0.8693750412930967
71	Retrosplenial Area - Agranular Lateral (Right Hemisphere)	RSPagl_RH	1.1754375558302854
72	Retrosplenial Area - Agranular Lateral (Left Hemisphere)	RSPagl_LH	1.1818125561330817
73	Retrosplenial Area - Dorsal (Right Hemisphere)	RSPd_RH	1.9027500903757755
74	Retrosplenial Area - Dorsal (Left Hemisphere)	RSPd_LH	1.8994375902184402
75	Retrosplenial Area - Ventral (Right Hemisphere)	RSPv_RH	2.0261250962357735
76	Retrosplenial Area - Ventral (Left Hemisphere)	RSPv_LH	2.3133751098794164
77	Visual Area - Anterior (Right Hemisphere)	VISa_RH	0.7175625340823899
